Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,same_state,age,python_yn,r_yn,spark_yn,aws_yn,excel_yn
Data Scientist,CA$48K-CA$80K (Glassdoor est.),"Détails du poste
Data Scientist
Date 2020-02-21
Numéro 2729
Secteur Technologie
Durée Permanent
Expertises Rôle et Responsabilités:
Extraire et analyser les données se trouvant dans les bases de données de l’entreprise afin d’optimiser et d’améliorer le développement des produits, les techniques de marketing et les stratégies commerciales.
Évaluer l’efficacité et l’exactitude des nouvelles sources de données et techniques de collecte de données.
Élaborer des algorithmes et des modèles de données personnalisées à appliquer aux ensembles de données.
Utiliser une modélisation prédictive pour accroître et optimiser l’expérience des clients, les revenus générés, le ciblage publicitaire et d’autres résultats opérationnels.
Élaborer un cadre de tests A/B pour l’entreprise et mettre à l’essai la qualité du modèle.
Coordonner différentes équipes fonctionnelles pour mettre en œuvre des modèles et surveiller les résultats.
Élaborer des processus et des outils pour le contrôle et l’analyse du rendement des modèles et de l’exactitude des données.

Exigences et requis:
Titulaire d’une maîtrise ou d’un doctorat en statistique, informatique, analyse des systèmes de gestion ou autre domaine connexe.
Au moins 6 ans d’expérience en science des données ou en statistiques appliquées.
Solides aptitudes pour le développement de produits et la résolution de problèmes.
Expérience dans l’utilisation de langages informatiques statistiques (R, Python, SLQ, etc.) pour manipuler les données et extraire des renseignements de grands ensembles de données.
Expérience dans la manipulation d’ensembles de données et l’élaboration de modèles statistiques.
Expérience avec diverses techniques d’apprentissage automatique (Forêt d'arbres décisionnels, gradient boosting, machines à vecteur de support, réseaux de neurones, réseaux bayésiens, etc.) et de leurs avantages et inconvénients dans le monde réel.
Expérience avec les techniques et concepts statistiques sophistiqués (MLG/régression, séries chronologiques, propriétés des distributions, tests statistiques et utilisation conforme, etc.).
Expérience dans l’utilisation et la création d’architectures de données.
Expérience dans l’utilisation de services Web : Redshift, S3, Azure, Spark, DigitalOcean, etc.
Expérience dans l’analyse de données provenant de: Microsoft Application insights, Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Expérience dans la visualisation et la présentation de données pour des intervenants, à l’aide de : Periscope, Microsoft Power BI, Business Objects, D3, ggplot, etc.
Expérience de direction d’initiatives axées sur le service client.
Excellentes aptitudes pour la communication verbale et écrite en vue de la coordination des équipes.",-1.0,Services Conseils IntelliSoft,Montreal,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,48,80,64.0,Services Conseils IntelliSoft,0,-1,1,0,1,0,1
Data Scientist,CA$75K-CA$98K (Glassdoor est.),"Replicon is looking to hire someone for our Time Intelligence platform who is passionate about taking data and transforming it into information and insights that can help our customers make the right decisions. Our SaaS application is used by thousands of customers, collecting data for millions of users, and we model business capabilities across many different industries.

Objectives
Work within our product engineering team to enhance our data analytics platform by identifying solutions to business problems using data analytics
Gain an understanding of our product and business domain to be able to drive our data model to be able to provide more analytical insights
Design and build our platform for solving time intelligence problems which needs to allow our customers to find meaningful insights in their uniquely modeled business
Evolve data analytics from a static model to a learning model, and not just analyzing a provided set of data
Keep current with industry trends
Responsibilities
Work with product managers to understand business objectives and to deliver results based on that context
Think about our data strategically, identifying new datasets for our product and work with the engineering team to integrate those datasets to create new data products
Execute analytical experiments and interpret the results to provide guidance on how to use or enhance our data platform
Identify relevant datasets to use for analytical experiments
Implement analytical models into production by taking product requirements and collaborating with software developers and machine learning engineers.
Own and continuously improve launched analytical models.
Evangelize analytics best practices and provide technical guidance and options to the team
Managing work on multiple concurrent analytics projects
Iterate and improve your work until the business objective is met, even if there are very challenging technical constraints to overcome
Openness to using many different tools and approaches as necessary - the right tool for the job
Take ownership and pride in everything you do and stand by what you deliver
Skills and Qualifications
Bachelors degree in statistics, applied mathematics, or related discipline
Proficiency with data mining, mathematics, and statistical analysis
Advanced pattern recognition and predictive modeling experience
Programming experience (Python, R, etc.)
Preferred Qualifications
2+ years experience in data science
Professional certifications
Experience with visualization tools such as PowerBI and Tableau
Experience with NLP/NLU technologies (Amazon Lex, Google DialogFlow, etc)
Experience with AI/ML technologies (Tensorflow, Amazon Sagemaker, etc)
Experience with SQL
Experience working in an Agile environment
A portfolio of relevant work to share",4.4,"Replicon
4.4",Calgary,-1,201 to 500 Employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,0,0,75,98,86.5,"Replicon
",0,24,1,0,0,0,0
Sr. Data Scientist - Application,CA$92K-CA$142K (Glassdoor est.),"About Fusion Analytics


We believe in a future where analytics takes the lead role in steering organizations, and that Fusion is positioned as the leading consulting firm for this transformation. Founded in 2005, we are now 30 consultants and will be growing to 50 in the next 3 years. To make this happen we are looking for extremely smart people to join us. Our current client list is a who’s who of amazing companies, including Budweiser, Sobey's, Staples, IKEA, Walmart and Canadian Tire. We love what we do and know you will too.


What makes this role unique

You will become a master in data science, statistical modelling & analytics
Exposure to Canada’s largest and most successful companies
Opportunity for aggressive promotion as we build our team
Work with the smartest team of data scientists in the country
Contribution to company success is encouraged from day one
No politics and we work hard for everyone to succeed
Highly supportive work culture (learn more at
http://www.fusionanalytics.com/team.html
).
Team builders (e.g. BBQs, board game nights)
Equal opportunity employer


Examples of typical projects

Develop a complex analytical model to help a national home decor retailer optimize their business operation
Build an integrated media mix model for a $20 billion international retailer
Work with a major national retailer to develop a predictive model to measure, monitor and forecast key industry indicators


Requirements

A Masters or undergraduate degree with knowledge in data science (Mathematics, Statistics, Engineering, Finance, Science)
3+ years of professional experience related to data science, modelling and analytics
Strong technical skill in data modelling, machine / deep learning models (R, Python, Power Pivot, Power BI)
Strong sense of curiosity, with advanced critical thinking and analytical skills
Passionate about problem-solving and will rise to any challenge
Track record in doing excellent work in a high pressure and fast paced environment


Compensation

Competitive top-tier data scientist level salary
Health & dental benefits for spouse and dependents
Share options at the management level


Start Date

Flexible start dates through 2019 and 2020


Application Deadline

Ongoing


How to Apply

Apply with a PDF copy of your resume and undergraduate transcript.
Please name all files ((applicant name)) - ((document)) for example John Doe - Transcript.pdf.
Your resume should highlight your education, your overall GPA at each academic level, academic scholarships/awards, analytical experience (labeled as Analytical Experience), and other experience (labeled as Other Experience).
We define analytical experience in its broadest sense (working in a medical lab doing tests, software programming, robotic design, engineering projects, financial modeling, etc.).",4.5,"Fusion Analytics
4.5",Toronto,-1,1 to 50 Employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,0,0,92,142,117.0,"Fusion Analytics
",0,14,1,0,0,0,1
Data Scientist / Engineer,CA$62K-CA$94K (Glassdoor est.),"Mobile data connectivity drives economic growth and brings vast social benefits to the world, but two-thirds of the world's population is unable to access this valuable resource. Our mission is to make affordable mobile communications available to every human on earth.

We are founded by early Product and Growth team executives from Facebook, and backed by world-leading VCs including Google Ventures, Social Capital, SV Angels, Macquarie Capital, and Compound.

We partner with some of the greatest institutions in the world including Linkedin, Supercell, Twitter, Microsoft, Verizon Wireless, Singtel, and T-Mobile.

SUMMARY

As a Data Scientist / Engineer at LotusFlare, you will play a vital role in redefining connectivity on a global scale. You will work on products bringing connectivity to more than 10 million people across the globe. You will advocate data-fueled products that help our customers to make data-driven decisions. You will provide insight using leading analytics practice and ultimately produce new and creative analytic solutions that will become part of our core products including experimentation platform (Velocity), analytics platform (Periscope), and data platform. You are a strategic thinker who can form hypotheses, synthesize disparate information to validate those hypotheses, and provide actionable insights for the product team to scale user base.

RESPONSIBILITIES
Participate in building models that will scale products with millions of users globally
Partner with cross-functional teams including engineering, UX/UI, sales, marketing, and customer success to build growth strategies and manage complex, cross-functional projects
Analyze diverse sources of data to devise actionable insights
Deep understanding of the B2C consumer markets and core metrics in the markets
Work with Product Managers to develop, execute, and test different growth experiments that have a significant impact on conversion across all funnels (acquisition, activation, retention, engagement, and monetization)
REQUIREMENTS
Undergraduate degree in quantitative fields including Engineering, Math, Statistics from top tier institute or relevant field (MS or PHD is preferred)
Candidate must have the ability to independently build data pipelines, develop data models, and recommend growth strategies to product and executive teams
3 - 5 years of previous experience in building ETLs, analyzing consumer insights, creating metrics
Experience with SQL and/or NoSQL database
Experience with data visualization, dashboards, and reports
Experience with scripting languages such as Python
Candidate must be able to effectively synthesize disparate quantitative and qualitative data sets to make data-driven decisions
Eager to learn new programming languages and tools when needed
Strong desire to work in a fast-paced startup environment
Obsessive around moving critical business metrics and products
Strong communication skills, attention to detail, and ability to manage multiple projects and stakeholders
Great oral and written communication skills in English
Powered by JazzHR",4.0,"LotusFlare, Inc.
4.0",Waterloo,-1,51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"LotusFlare, Inc.
",0,6,1,0,0,0,0
Data Analyst,CA$49K-CA$66K (Glassdoor est.),"MC03 Data Analyst
Full Time Posting Date: 02/10/2020 Closing Date: 03/07/2020 Seeking a consultant with strong experience in capturing / analyzing business / data requirements on different finance systems, database design / modeling, compliance regulatory, data visualization and project management.
Analysis of data loading and integrity of Enterprise Data Warehouse from multiple systems.
Experience in processing complex data set using Excel Macro/VBA for reporting purpose.
Experience with reconciliation supplier data with Third Party Risk Management system and Oracle R12.
Work with Senior Management to develop and implement automated dashboards and analytic tools to track progress against business goals.
Analyze business performance and generate ad-hoc business reports.
Make presentations and reports based on data analysis and expedite root cause analyses against recurring issues and provide insights for strategic planning.
Manage data, information, reports etc. and coordinate with various stakeholders.
Data management skills with attention to details and accuracy.
Experience in creating documentation including Mapping document, Master Tracker document, process training documentation, SOP (Standards of procedure), system use case and UML diagrams, test plan, test scenarios and test cases.
Creating use case, UML diagrams, data flow diagrams, business process and data process models.
Experience with Data visualization tools like Power BI or Tableau. Toronto, ON Canada Apply",4.0,"Maxima Consulting
4.0",Toronto,-1,51 to 200 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1,0,0,49,66,57.5,"Maxima Consulting
",0,-1,0,0,0,0,1
Data Analyst,CA$49K-CA$63K (Glassdoor est.),"As a leading mobile games developer, Jam City is looking to “level up” our talent for our Bingo team in Toronto. We’re on the hunt for innovators who consider themselves dynamic, collaborative and thrive in a fast-paced environment.

PERKS & BENEFITS
Unlimited Vacation, Paid Sick Days & Holidays*
100% Employee Covered Medical, Dental, Vision Plan Base Plan*
Life Insurance, RRSP matching, Flexible Spending Accounts & More*
Catered Lunches & Well-stocked Kitchens
Company Events such as movie night, pub night and more…
You'll be equipped with a high-end laptop, monitor and mobile device
Convenient location in downtown Toronto’s entertainment and technology district
*Only applies to full-time positions.

ABOUT THE ROLE
We are currently looking for a Data Analyst to join our Bingo Pop team! You will get the opportunity to work with some of gaming’s top talent, while lending your analytical talents to help us create top-tier mobile games. Our ideal candidate would have a strong appetite to learn, inquire and apply their knowledge to give informed proposals on the design of our game.
RESPONSIBILITIES
Building reports, dashboards and data visualizations that are used everyday by team leads and executives.
Developing new metrics and player cohorts to unlock insights into player behavior.
Assisting in the design of new game features.
Helping to manage billions of rows of data along with our data pipeline.
Responding to ad-hoc requests from the executive, financial or marketing teams when insights into our data are needed.
QUALIFICATIONS
BA/BS degree or equivalent.
1+ years of experience working with data on a live product.
Strong data analysis skills using spreadsheets and querying databases.
Previous startup experience is desirable, comfort in an agile environment.
Strong understanding of SQL or Redshift and proficiency in data visualization.
Strong attention to detail and proven analytical skills.
The ability to communicate and present information clearly.
An appetite to learn, grow, and take on increasingly more responsibility.
A strong desire to answer questions that can drive actionable decisions.
Knowledge of the mobile gaming industry in order to provide recommendations on game design.
NICE TO HAVE
Experience working on a free to play mobile game.
ABOUT JAM CITY
Jam City is an award-winning mobile entertainment studio providing unique and deeply engaging games that appeal to a broad, global audience.

Led by CEO Chris DeWolfe, former MySpace co-founder and CEO, and COO Josh Yguado, former 20th Century Fox executive, Jam City is the creative powerhouse behind some of the highest-grossing and most enduring mobile games. Jam City’s global franchise Cookie Jam has generated more than half a billion dollars, and Panda Pop has more than 120 million downloads to date.

The company also is the go-to studio for Hollywood, having developed immersive, narrative-rich mobile games around iconic entertainment brands. The company’s popular RPG game Harry Potter: Hogwarts Mystery was the #1 game in more than 40 countries at its launch in April 2018.

Jam City has nine studios located in Los Angeles (HQ), Berlin, Buenos Aires, Bogotá, Burbank, Cedar Falls, San Diego, San Francisco, and Toronto.",4.0,"Jam City
4.0",Toronto,-1,501 to 1000 Employees,2010,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,0,0,49,63,56.0,"Jam City
",0,10,0,0,0,0,0
Research Scientist (Mitacs),CA$88K-CA$117K (Glassdoor est.),"Are you a PhD graduate looking to be part of an innovative and entrepreneurial team?

This is not your ordinary research job. You will bridge the gap between academia, industry partners and organizations! By working closely with members of Dalhousie University and MTI,you will deliver high‐quality research in an extraordinary field.

About MTI:

Metamaterial Technologies Inc. (MTI) is a smart materials and photonics company that is redefining the way we use, interact, and benefit from light.

We have embarked upon a new age of multifunctional materials—also known as metamaterials—with engineered properties that go far beyond what is found in nature. Our cutting-edge patented platform technology has been developed using a variety of smart materials that are capable of drastically altering the way light can be manipulated. These thin-films can absorb, block or enhance light, allowing us to “go beyond” what was once thought possible.

MTI specializes in metamaterial research, nanofabrication, and computational electromagnetics. Through the brilliance of our engineers, we have developed a wide array of metamaterial applications that encompass several industries, including aerospace and defense, healthcare, energy, education, and clean-tech. MTI is first in class when it comes to harnessing and mastering light. And through our innovation we have attracted international attention, because our ground-breaking technology is leaps and bounds ahead of its time.

MTI is headquartered in Halifax, Nova Scotia with global offices in London, England and Pleasanton, California.

We are proud to have received numerous awards including “Innovative Business of the year” award by Halifax’s Chamber of Commerce in 2016, “Employer of the year” award by Dalhousie University in 2017 and the “Red Herring” top 100 award in 2017 and many more!

About the role:

This is a joint research program between Dalhousie University and Metamaterial Technologies Inc. (MTI), funded by Mitacs Accelerate. The program runs in Halifax for 3.5 years from March 2019. This largest ever program of its kind in Atlantic Canada.

We are seeking 15 highly motivated interns (graduate students and postdocs) with interests in computational electromagnetics, metamaterials, light-matter interactions, radio-wave sensing, nanophotonics and nanofabrication. The interns will split their time between Dalhousie University and MTI.

The program aims to explore and develops innovative designs of resonant structures and novel metamaterial systems within the limits of advanced fabrication capabilities for next-generation light harvesting, optical imaging/filtering, thermal management systems, and enhanced spectroscopy tools in optical and radio-wave frequencies.

Overview:

The manipulation of light has been a key driving factor in human progress since the beginning of our species. Each industrial advance in the world has successively become more and more dependent on the manipulation of light and concomitant advances in our understanding of related phenomena: advances and discoveries in electricity, electromagnetic technology, wireless communications, lasers, and computers have all been driven by new understandings regarding the nature of light and what it is possible to do with it.

Advances in lithography and fabrication techniques in the last few decades have enabled us to control the optical properties of materials at the nanoscale, resulting in the emerging field of metamaterials. As the material size is reduced to deep subwavelength scales, novel designs have been proposed and demonstrated to enhance the light-matter interaction and enable efficient integration of ultra-compact and functional components into optical and electrical systems. As a result, many novel physical phenomena in this field have been introduced with application areas ranging from medicine to telecommunication, from solid-state lighting to spectroscopy. However, these studies so far were limited to lab-scale demonstrations and required expensive nanofabrication tools. There is a clear need for inexpensive fabrication techniques that will enable large-scale implementation of metamaterial-based new technologies.

MTI has recently developed an innovative technology for producing photonic metamaterials using a low cost, roll-to-roll process. This unique lithography technique provides a distinct capability to realize cost-effective, large-scale fabrication of flexible, nanostructured ultra-thin films for various new technologies. The program will also address scientific challenges induced by the fabrication limitations and develop alternative design solutions for improved device performance.

The program is divided into 5 research areas:

• Narrowband Laser Filtering Systems. Nano-structured thin film materials for transparent, ultra thin optical filters will be developed for applications in laser protection in aviation.

• Ultra-light-weight Photovoltaic Systems with high efficiencies. Highly efficient flexible solar panels for application in aerial vehicles, with improved overall efficiency of ultra-thin cells by collecting solar light from all angles and enhancing absorption across the most useful spectral regions.

• Efficient Light-Emitting Diodes. Optimization of LED emission enhancers that can be mounted on existing LED sources to substantially improve their luminosity, making them super-bright, dramatically brighter to current LED sources.

• Medical Diagnostics & Non-Invasive Sensing of Glucose Levels. Modelling and analysis of a dual-sensor glucose monitor that utilizes a wearable thin-film, which makes the skin transparent to radio waves and allows deep enough penetration to reach blood plasma.

• Flexible Transparent Conductive Films. Optimization of metallic mesh designs which would provide highest electromagnetic interference (EMI) shielding with high transparency and investigate metallic mesh distributions that would minimize haze and obscuration.

Key responsibilities:

The position will be for a Research Scientist, that is expected to work in one or more areas of the program. We are seeking for people with interests in any of the following R&D tasks:

• Performing full-wave and numerical simulations to predict angle- and wavelength-dependent optical transmission and reflection.

• Building optical characterization tools and developing techniques which will enable angular-resolved transmission and reflection optical measurements

• Developing analytical models to predict angular transmission response of incident light

• Measuring angular-resolved spectral response of filters

• Develop new filter designs which will enable angle-independent performance

• Developing analytical models and perform full-field electromagnetic simulations to investigate resonant absorption in vertical and lateral cavities

• Investigating fabrication feasibility of promising designs using in-house holographic and RML techniques. Accordingly, identify promising and practical designs for fabrication.

• Measuring angular and spectrally-resolved optical response of fabricated structures, compare with theoretical models and numerical simulations

• Performance deficiencies will be identified, and structures modified, to optimize optical properties when matched with a variety of solar cell materials, including Si HIT, perovskite and organic thin films.

• Optical properties of films will be experimentally measured and compared with simulations.

• Perovskite and/or organic solar cells, fabricated at Dalhousie, will be characterized with and without the above films, as with Si HIT.

• Explore potential metamaterial structures and materials with promise to improve light outcoupling efficiency from typical LED emitters, such as the InGaN family of materials, as well as next-generation emitters, such as OLEDs. Specific wavelengths of interest for application in white-emitting LEDs will be targeted (both blue LED+phosphor, and RGB approaches)

• Results of the experiments will be compared with the theoretical calculations, and the process iterated to optimize metamaterial structures, and application procedures.

• Perform laboratory validation of a non-invasive, wireless glucose monitoring method based on a dynamically tunable radio-wave sensor enhanced by metamaterial films using non-biological tissue-mimicking phantoms.

• Explore metamaterial designs for impedance matching and integrate these with antennas.

• Perform laboratory measurements for the reduction of the reflection coefficient of the metamaterial structures in non-biological samples (acrylic slabs and skin phantoms)

Qualifications:

· PhD in physics, Electrical Engineering or relevant Applied Sciences

· Experience with FFT, FEM and FDTD Simulation tools, e.g. Lumerical, COMSOL, Sentaurus, RSOFT etc. (preferred)

· Design and optimization of nanostructured optical systems using computational simulation tools and analytical models (preferred)

Skills required:

· Team player who enjoys working with different disciplines.

· High level of independence on the job Effective oral and written communications skills, self-motivated

· Ownership and accountability

· Strong interpersonal and organizational skills

· Ability to work effectively with cross-functional working groups, skill levels and expertise in a global environment

· Maintain the highest degree of honesty and integrity at all times.

Why work with us?

· Training in process diagnostics, materials/composites development, and numerical calculations

· Use of state-of-art characterization instruments

· Advice from industry experts on the usage of real-world commercial equipment

· Exposure to industrial processes and real-world challenges

· Close proximity and advice to applicable systems and devices

· Support to publish and prepare both journal papers and patent applications

· Cross-disciplinary project allows R&D knowledge to be gained from different fields of science

· Potential for full-time employment at MTI or relevant companies after project completion

Now its your turn! At MTI, we “go beyond” being an employer. We are a diverse family – driven by our passion for greatness and success. Aside from the fact that your work will make a difference and help us to make a mark on the world, know that we have a fantastic work culture. This is your opportunity to learn and grow with a company who cares.

If that sounds like you, then it’s time to join.

We thank all candidates for their interest. Please note that due to the large number of resumes that we expect to receive, only the most qualified candidates will be contacted.",4.6,"Metamaterial Technologies Inc.
4.6",Dartmouth,-1,1 to 50 Employees,2010,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1,0,0,88,117,102.5,"Metamaterial Technologies Inc.
",0,10,0,0,0,0,0
Data Analyst,CA$54K-CA$75K (Glassdoor est.),"We are Systematix and we are currently looking for a Senior Data Analyst with strong experience working in a Microsoft Windows environment to partner with one of our key clientele.

ABOUT THE PROJECT:
As Data Analyst, you will be responsible for working with Business stakeholders to understand their business reporting requirements, analyze their business data and provide information and insight using reporting tools.
ABOUT THE RESPONSIBILITIES:
Interpret data, analyze results and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Work with the business to prioritize business and information needs
Use reporting tools to meet the business reporting needs
Participate in backlog grooming and retrospectives
Prepare product implementation documentation.

ABOUT THE REQUIRED SKILLS:
10+ years in the data analysis field
Microsoft technologies : Power BI, SSRS, SSIS
Experience in Data Warehouse, Reporting, Analytics
Broad knowledge of technologies in the reporting domain, hands on experience on MS technologies
Experience in the insurance industry is a strong asset
Bachelor’s Degree in Computer Science/Mathematics or equivalent work experience.

ABOUT THE ROLE:
This is a 6 month contract to be carried out at our client’s location in Edmonton, AB. Some international travel will necessitate a valid passport.
APPLY NOW:

If you are interested in finding out more please contact us or submit your resume to jobs@systematix.com

ABOUT SYSTEMATIX:
Systematix is one of Canada’s largest privately owned National Consulting and Resourcing firms. With offices across Canada, we provide the highest caliber consulting solutions to hundreds of Regional, National, Provincial and Federal Government clientele.
At Systematix, we pride ourselves in taking care of our consultant partnerships - by doing the little things that matter - like taking the time to get to know you, knowing when an opportunity is the perfect fit, informing you every step of the way, and building the foundation for long term relationships. We do the same with our clients, concerning ourselves more with the project than the position, so that we have the information you need to ensure an opportunity is right for you. We only work with people who enjoy making a difference.
At Systematix, we bring people and projects together!",3.8,"Systematix
3.8",Edmonton,-1,501 to 1000 Employees,1975,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,0,54,75,64.5,"Systematix
",0,45,0,0,0,0,0
Intermediate Data Analyst,CA$47K-CA$65K (Glassdoor est.),"Job Description

Assist in identifying and documenting current state data environment and Identity & Access Management (IAM) business, process, and application architectures
Assist the Data Architect in identifying and documenting current, interim, interim and target state data architecture that will encompass all potential data management capabilities now and into the future

Assist in creating a data migration strategy from legacy/current state to staging/interim state data environments

Work with SIS vendor to assist in data migration from staging/interim state to the new SIS target state environment

Identify critical data elements (CDE) and related data classifications that support key business processes
Work with business to identify business rules per CDE and transform those rules into data quality rules used for data quality profiling

Create and/or update existing Data Policies and Standards

Requirements


Minimum of five (5) years of experience as a data analyst planning, designing and implementing data initiatives in a data management, data governance, data quality, and/or metadata capacity.

Experience in creating an enterprise-wide business glossary comprised of candidate and/or approved business terms and definitions
Experience in creating data lineage (both technical and business) and in depth analysis of data sources to verify conformity to Business Rules and Data Quality standards.

Demonstrated knowledge of Data Management and Data Governance experience.

Experience with identifying data-related KPI’s and reporting progress within appropriate scorecards/dashboards

Familiarity with data mining, analytics, and visualization tools

Familiarity with Master and Reference Data management concepts

Understanding of industry segment leading tools including experience in evaluating cloud-based technologies.

Knowledge and project experience with the DAMA-DMBOK framework

Bachelor’s degree in a computer science or related field

High level of analytical, problem-solving, and creative skills

Excellent communication skills",5.0,"QSI Inc
5.0",Ottawa,-1,1 to 50 Employees,1989,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,0,47,65,56.0,"QSI Inc
",0,31,0,0,0,0,1
Research Associate - Staff Clinical Scientist,CA$22K-CA$47K (Glassdoor est.),"Job Description :
The Department of Radiology within The University of Manitoba Faculty of Max Rady Health Sciences invites applications for a Full-Time Research Associate.
Responsibilities :
Day-to-day responsibilities for this position will include conducting independent research related to the diagnosis, management and treatment of ischemic and hemorrhagic stroke and brain tumors including advanced imaging analysis. The activities of the Research Associate will include recruiting, screening and scheduling participants for the related studies; data collection, image reconstruction and analysis; writing associated peer-reviewed papers; overseeing the setup and general operation of the study; training and assisting graduate students, medical residents; postdoctoral fellows and departmental staff with related experimental design and data analysis; The successful applicant will report to PI Dr. Jai Shankar (Professor, Department of Radiology).
Qualifications :
The successful candidate must have a Masters/PhD preferred in neuroscience, biomedical research statistics, physics or medicine and have prior epidemiological research experience, CT and MRI research experience, including image reconstruction, demonstrated through peer-reviewed papers and/or conference proceedings. The job will require exceptional organizational skills; strong quantitative skills; a high degree of independence and initiative; the ability to work with patient populations; the ability to direct the work of scientific and technical staff; above average communication skills, including written and verbal English; excellent computer skills; and the ability to interact and work well with other group members. Previous experience with neuroimaging software and statistical analysis packages are essential.

Individuals with extensive experience in epidemiological data acquisition/optimization/processing; advanced CT and MR image reconstruction, pre-processing and statistical analysis methods/software; and the development of computer-based techniques for advanced neuroimaging methods in clinical populations are particularly encouraged to apply.
Additional Information :
Location, Time Frame and Salary:

This position will be based at the Winnipeg Health Sciences Centre in the John Buhler Research Center. The position requires at least a 2-year commitment, with the possibility of a longer-term extension (pending performance and funding). Salary and benefits will be commensurate with qualifications and experience. Applications will be reviewed immediately, and the position will remain open until filled.

Application Submission:

The University of Manitoba is strongly committed to equity and diversity within its community and especially welcomes applications from women, racialized persons, Indigenous peoples, persons with disabilities, persons of all sexual orientations and genders, and others who may contribute to the further diversification of ideas. All qualified candidates are encouraged to apply; however Canadian citizens and permanent residents will be given priority.

If you require accommodation supports during the recruitment process, please contact UM.Accommodation@umanitoba.ca or 204-474-8371. Please note this contact information is for accommodation reasons only.

All interested applicants should email:
A cover letter explaining their research interests and previous research experience
Their curriculum vitae
The names and contact information for at least three academic references to: Shalene Rochon (srochon3@hsc.mb.ca)",4.0,"University of Manitoba
4.0",Winnipeg,-1,5001 to 10000 Employees,1877,College / University,Colleges & Universities,Education,$1 to $2 billion (USD),-1,0,0,22,47,34.5,"University of Manitoba
",0,143,0,0,0,0,1
